topic,n_poetry,n_prose,share_poetry_in_corpus,share_prose_in_corpus,ratio_poetry_over_prose
295,0,11,0.0,0.0007530635996440063,0.0
296,0,10,0.0,0.0006846032724036421,0.0
355,0,2,0.0,0.0001369206544807284,0.0
297,0,14,0.0,0.0009584445813650989,0.0
171,0,28,0.0,0.0019168891627301978,0.0
19,0,53,0.0,0.003628397343739303,0.0
315,0,10,0.0,0.0006846032724036421,0.0
38,0,44,0.0,0.0030122543985760253,0.0
351,0,12,0.0,0.0008215239268843705,0.0
215,0,13,0.0,0.0008899842541247347,0.0
235,0,25,0.0,0.0017115081810091053,0.0
41,0,47,0.0,0.003217635380297118,0.0
322,0,18,0.0,0.0012322858903265558,0.0
79,0,27,0.0,0.0018484288354898336,0.0
42,0,57,0.0,0.00390223865270076,0.0
348,0,11,0.0,0.0007530635996440063,0.0
352,0,10,0.0,0.0006846032724036421,0.0
354,0,7,0.0,0.00047922229068254944,0.0
268,0,18,0.0,0.0012322858903265558,0.0
131,0,27,0.0,0.0018484288354898336,0.0
126,0,23,0.0,0.0015745875265283768,0.0
269,0,16,0.0,0.0010953652358458273,0.0
210,0,20,0.0,0.0013692065448072841,0.0
191,0,17,0.0,0.0011638255630861914,0.0
250,0,19,0.0,0.00130074621756692,0.0
78,0,28,0.0,0.0019168891627301978,0.0
13,0,85,0.0,0.0058191278154309575,0.0
277,0,12,0.0,0.0008215239268843705,0.0
346,0,10,0.0,0.0006846032724036421,0.0
206,0,20,0.0,0.0013692065448072841,0.0
169,0,29,0.0,0.001985349489970562,0.0
253,0,23,0.0,0.0015745875265283768,0.0
194,0,13,0.0,0.0008899842541247347,0.0
31,0,55,0.0,0.0037653179982200316,0.0
341,0,12,0.0,0.0008215239268843705,0.0
27,0,81,0.0,0.005545286506469501,0.0
320,0,10,0.0,0.0006846032724036421,0.0
260,0,10,0.0,0.0006846032724036421,0.0
68,0,36,0.0,0.0024645717806531116,0.0
157,0,26,0.0,0.0017799685082494695,0.0
179,0,15,0.0,0.0010269049086054631,0.0
39,0,66,0.0,0.004518381597864038,0.0
344,0,8,0.0,0.0005476826179229136,0.0
247,0,13,0.0,0.0008899842541247347,0.0
319,0,12,0.0,0.0008215239268843705,0.0
246,0,19,0.0,0.00130074621756692,0.0
139,0,19,0.0,0.00130074621756692,0.0
251,0,16,0.0,0.0010953652358458273,0.0
188,0,22,0.0,0.0015061271992880126,0.0
275,0,17,0.0,0.0011638255630861914,0.0
310,0,6,0.0,0.00041076196344218524,0.0
332,0,11,0.0,0.0007530635996440063,0.0
158,0,24,0.0,0.001643047853768741,0.0
340,0,11,0.0,0.0007530635996440063,0.0
317,0,21,0.0,0.0014376668720476485,0.0
86,0,39,0.0,0.0026699527623742043,0.0
218,0,18,0.0,0.0012322858903265558,0.0
323,0,18,0.0,0.0012322858903265558,0.0
109,0,31,0.0,0.0021222701444512907,0.0
343,0,11,0.0,0.0007530635996440063,0.0
166,0,28,0.0,0.0019168891627301978,0.0
318,0,9,0.0,0.0006161429451632779,0.0
252,0,20,0.0,0.0013692065448072841,0.0
111,0,22,0.0,0.0015061271992880126,0.0
70,0,32,0.0,0.0021907304716916546,0.0
337,0,7,0.0,0.00047922229068254944,0.0
213,0,17,0.0,0.0011638255630861914,0.0
159,0,16,0.0,0.0010953652358458273,0.0
338,0,13,0.0,0.0008899842541247347,0.0
314,0,10,0.0,0.0006846032724036421,0.0
248,0,20,0.0,0.0013692065448072841,0.0
273,0,7,0.0,0.00047922229068254944,0.0
234,0,9,0.0,0.0006161429451632779,0.0
272,0,23,0.0,0.0015745875265283768,0.0
326,0,17,0.0,0.0011638255630861914,0.0
327,0,9,0.0,0.0006161429451632779,0.0
7,0,80,0.0,0.0054768261792291365,0.0
266,0,21,0.0,0.0014376668720476485,0.0
331,0,10,0.0,0.0006846032724036421,0.0
141,0,29,0.0,0.001985349489970562,0.0
333,0,9,0.0,0.0006161429451632779,0.0
334,0,18,0.0,0.0012322858903265558,0.0
